"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"2633",12,1315349,"Jakesnake42’s Orange Lightning",99.76,"LOSE",1175353,"vivasaur’s Good Wilfork Hunting",134.74,"50884425",TRUE,TRUE,NA,NA,NA
"2634",12,1323879,"GATTACA!!",134.7,"WIN",1258433,"Ballofpopculture's Relegations",119.62,"50884427",TRUE,TRUE,NA,NA,NA
"2635",12,1006477,"Colonel Mostert",104.96,"LOSE",1252735,"in_toto the void",129.26,"50884422",TRUE,TRUE,NA,NA,NA
"2636",12,1085277,"caltomin's Rookie Numbers",139.06,"WIN",1417290,"Lurkerish's You could fill two internets",112.8,"50884423",TRUE,TRUE,NA,NA,NA
"2637",12,1172103,"_CodeMonkey’s Wild Ride",128.56,"WIN",1252781,"LatDropKing's Underachievers",123.8,"50884424",TRUE,TRUE,NA,NA,NA
"2638",12,1172417,"5 Centimeters Per Second (r/Takuru)",114.5,"LOSE",1316206,"sbdreiser's 2 Can Slams",118.9,"50884426",TRUE,TRUE,NA,NA,NA
"2639",12,1175353,"vivasaur’s Good Wilfork Hunting",134.74,"WIN",1315349,"Jakesnake42’s Orange Lightning",99.76,"50884425",TRUE,TRUE,NA,NA,NA
"2640",12,1258433,"Ballofpopculture's Relegations",119.62,"LOSE",1323879,"GATTACA!!",134.7,"50884427",TRUE,TRUE,NA,NA,NA
"2641",13,1417290,"Lurkerish's You could fill two internets",128.26,"WIN",1006477,"Colonel Mostert",96.8,"50884429",TRUE,TRUE,NA,NA,NA
"2642",13,1315349,"Jakesnake42’s Orange Lightning",84.24,"LOSE",1172103,"_CodeMonkey’s Wild Ride",124.3,"50884431",TRUE,TRUE,NA,NA,NA
"2643",13,1323879,"GATTACA!!",153.9,"WIN",1172417,"5 Centimeters Per Second (r/Takuru)",116.3,"50884433",TRUE,TRUE,NA,NA,NA
"2644",13,1085277,"caltomin's Rookie Numbers",166.8,"WIN",1252735,"in_toto the void",111.86,"50884428",TRUE,TRUE,NA,NA,NA
"2645",13,1175353,"vivasaur’s Good Wilfork Hunting",135.6,"WIN",1252781,"LatDropKing's Underachievers",85.32,"50884430",TRUE,TRUE,NA,NA,NA
"2646",13,1258433,"Ballofpopculture's Relegations",100.22,"LOSE",1316206,"sbdreiser's 2 Can Slams",129.34,"50884432",TRUE,TRUE,NA,NA,NA
"2647",13,1006477,"Colonel Mostert",96.8,"LOSE",1417290,"Lurkerish's You could fill two internets",128.26,"50884429",TRUE,TRUE,NA,NA,NA
"2648",13,1172103,"_CodeMonkey’s Wild Ride",124.3,"WIN",1315349,"Jakesnake42’s Orange Lightning",84.24,"50884431",TRUE,TRUE,NA,NA,NA
"2649",13,1172417,"5 Centimeters Per Second (r/Takuru)",116.3,"LOSE",1323879,"GATTACA!!",153.9,"50884433",TRUE,TRUE,NA,NA,NA
"2650",13,1252735,"in_toto the void",111.86,"LOSE",1085277,"caltomin's Rookie Numbers",166.8,"50884428",TRUE,TRUE,NA,NA,NA
"2651",13,1252781,"LatDropKing's Underachievers",85.32,"LOSE",1175353,"vivasaur’s Good Wilfork Hunting",135.6,"50884430",TRUE,TRUE,NA,NA,NA
"2652",13,1316206,"sbdreiser's 2 Can Slams",129.34,"WIN",1258433,"Ballofpopculture's Relegations",100.22,"50884432",TRUE,TRUE,NA,NA,NA
"2653",14,1006477,"Colonel Mostert",87.9,"LOSE",1085277,"caltomin's Rookie Numbers",145.28,"50884434",TRUE,TRUE,NA,NA,NA
"2654",14,1172103,"_CodeMonkey’s Wild Ride",70.58,"LOSE",1175353,"vivasaur’s Good Wilfork Hunting",97.26,"50884436",TRUE,TRUE,NA,NA,NA
"2655",14,1417290,"Lurkerish's You could fill two internets",97.56,"WIN",1252735,"in_toto the void",96.8,"50884435",TRUE,TRUE,NA,NA,NA
"2656",14,1315349,"Jakesnake42’s Orange Lightning",74.94,"LOSE",1252781,"LatDropKing's Underachievers",132.88,"50884437",TRUE,TRUE,NA,NA,NA
"2657",14,1172417,"5 Centimeters Per Second (r/Takuru)",153.3,"WIN",1258433,"Ballofpopculture's Relegations",112.28,"50884438",TRUE,TRUE,NA,NA,NA
"2658",14,1323879,"GATTACA!!",69.98,"LOSE",1316206,"sbdreiser's 2 Can Slams",112.06,"50884439",TRUE,TRUE,NA,NA,NA
"2659",14,1085277,"caltomin's Rookie Numbers",145.28,"WIN",1006477,"Colonel Mostert",87.9,"50884434",TRUE,TRUE,NA,NA,NA
"2660",14,1175353,"vivasaur’s Good Wilfork Hunting",97.26,"WIN",1172103,"_CodeMonkey’s Wild Ride",70.58,"50884436",TRUE,TRUE,NA,NA,NA
"2661",14,1252735,"in_toto the void",96.8,"LOSE",1417290,"Lurkerish's You could fill two internets",97.56,"50884435",TRUE,TRUE,NA,NA,NA
"2662",14,1252781,"LatDropKing's Underachievers",132.88,"WIN",1315349,"Jakesnake42’s Orange Lightning",74.94,"50884437",TRUE,TRUE,NA,NA,NA
"2663",14,1258433,"Ballofpopculture's Relegations",112.28,"LOSE",1172417,"5 Centimeters Per Second (r/Takuru)",153.3,"50884438",TRUE,TRUE,NA,NA,NA
"2664",14,1316206,"sbdreiser's 2 Can Slams",112.06,"WIN",1323879,"GATTACA!!",69.98,"50884439",TRUE,TRUE,NA,NA,NA
"2665",15,1252781,"LatDropKing's Underachievers",117.54,"WIN",1175353,"vivasaur’s Good Wilfork Hunting",108.44,"51996796",TRUE,NA,TRUE,NA,NA
"2666",15,1323879,"GATTACA!!",102.88,"LOSE",1085277,"caltomin's Rookie Numbers",132.4,"51996795",TRUE,NA,TRUE,NA,NA
"2667",15,1172417,"5 Centimeters Per Second (r/Takuru)",138.58,"LOSE",1252735,"in_toto the void",145.8,"51996798",TRUE,NA,NA,NA,NA
"2668",15,1006477,"Colonel Mostert",128.66,"WIN",1315349,"Jakesnake42’s Orange Lightning",120.74,"51996797",TRUE,NA,NA,NA,NA
"2669",15,1175353,"vivasaur’s Good Wilfork Hunting",108.44,"LOSE",1252781,"LatDropKing's Underachievers",117.54,"51996796",TRUE,NA,TRUE,NA,NA
"2670",15,1085277,"caltomin's Rookie Numbers",132.4,"WIN",1323879,"GATTACA!!",102.88,"51996795",TRUE,NA,TRUE,NA,NA
"2671",15,1252735,"in_toto the void",145.8,"WIN",1172417,"5 Centimeters Per Second (r/Takuru)",138.58,"51996798",TRUE,NA,NA,NA,NA
"2672",15,1315349,"Jakesnake42’s Orange Lightning",120.74,"LOSE",1006477,"Colonel Mostert",128.66,"51996797",TRUE,NA,NA,NA,NA
"2673",16,1316206,"sbdreiser's 2 Can Slams",117.9,"LOSE",1085277,"caltomin's Rookie Numbers",139.7,"52063492",TRUE,NA,TRUE,NA,NA
"2674",16,1417290,"Lurkerish's You could fill two internets",65.86,"LOSE",1252781,"LatDropKing's Underachievers",95.66,"52063493",TRUE,NA,TRUE,NA,NA
"2675",16,1258433,"Ballofpopculture's Relegations",139.98,"WIN",1006477,"Colonel Mostert",100.2,"52063494",TRUE,NA,NA,NA,NA
"2676",16,1172103,"_CodeMonkey’s Wild Ride",88.8,"LOSE",1252735,"in_toto the void",125.06,"52063495",TRUE,NA,NA,NA,NA
"2677",16,1085277,"caltomin's Rookie Numbers",139.7,"WIN",1316206,"sbdreiser's 2 Can Slams",117.9,"52063492",TRUE,NA,TRUE,NA,NA
"2678",16,1252781,"LatDropKing's Underachievers",95.66,"WIN",1417290,"Lurkerish's You could fill two internets",65.86,"52063493",TRUE,NA,TRUE,NA,NA
"2679",16,1006477,"Colonel Mostert",100.2,"LOSE",1258433,"Ballofpopculture's Relegations",139.98,"52063494",TRUE,NA,NA,NA,NA
"2680",16,1252735,"in_toto the void",125.06,"WIN",1172103,"_CodeMonkey’s Wild Ride",88.8,"52063495",TRUE,NA,NA,NA,NA
"2681",17,1252781,"LatDropKing's Underachievers",83.22,"LOSE",1085277,"caltomin's Rookie Numbers",121.96,"52121954",TRUE,NA,TRUE,NA,TRUE
"2682",17,1316206,"sbdreiser's 2 Can Slams",106.18,"WIN",1417290,"Lurkerish's You could fill two internets",83.6,"52121955",TRUE,NA,TRUE,TRUE,NA
"2683",17,1258433,"Ballofpopculture's Relegations",118.72,"LOSE",1252735,"in_toto the void",133.9,"52121956",TRUE,NA,NA,NA,NA
"2684",17,1172103,"_CodeMonkey’s Wild Ride",100.48,"LOSE",1006477,"Colonel Mostert",107.7,"52121957",TRUE,NA,NA,NA,NA
"2685",17,1085277,"caltomin's Rookie Numbers",121.96,"WIN",1252781,"LatDropKing's Underachievers",83.22,"52121954",TRUE,NA,TRUE,NA,TRUE
"2686",17,1417290,"Lurkerish's You could fill two internets",83.6,"LOSE",1316206,"sbdreiser's 2 Can Slams",106.18,"52121955",TRUE,NA,TRUE,TRUE,NA
"2687",17,1252735,"in_toto the void",133.9,"WIN",1258433,"Ballofpopculture's Relegations",118.72,"52121956",TRUE,NA,NA,NA,NA
"2688",17,1006477,"Colonel Mostert",107.7,"WIN",1172103,"_CodeMonkey’s Wild Ride",100.48,"52121957",TRUE,NA,NA,NA,NA
"2689",1,1315066,"Anders157's Splish Splash FC",160.52,"WIN",996485,"ejm13's Wahooligans",92.52,"50884445",TRUE,TRUE,NA,NA,NA
"2690",1,1175360,"Bird Person",123.68,"LOSE",1083211,"Under New Management",137.2,"50884441",TRUE,TRUE,NA,NA,NA
"2691",1,1252704,"Love Hurts",96.92,"LOSE",1172029,"Time to Simmer Maybe",118.6,"50884443",TRUE,TRUE,NA,NA,NA
"2692",1,996276,"harryLOL's Replacements",103.06,"LOSE",1258434,"Seequa's Something Clever",111.16,"50884440",TRUE,TRUE,NA,NA,NA
"2693",1,996305,"Gettin' Diggy With It",88.06,"LOSE",1315176,"Jerry’s Kids",116.12,"50884444",TRUE,TRUE,NA,NA,NA
"2694",1,996300,"swimkid07's BuffaLove",127.98,"WIN",1315345,"DinoJockeyTebow Died On The Cross To Save The Team",120.3,"50884442",TRUE,TRUE,NA,NA,NA
"2695",1,996485,"ejm13's Wahooligans",92.52,"LOSE",1315066,"Anders157's Splish Splash FC",160.52,"50884445",TRUE,TRUE,NA,NA,NA
"2696",1,1083211,"Under New Management",137.2,"WIN",1175360,"Bird Person",123.68,"50884441",TRUE,TRUE,NA,NA,NA
"2697",1,1172029,"Time to Simmer Maybe",118.6,"WIN",1252704,"Love Hurts",96.92,"50884443",TRUE,TRUE,NA,NA,NA
"2698",1,1258434,"Seequa's Something Clever",111.16,"WIN",996276,"harryLOL's Replacements",103.06,"50884440",TRUE,TRUE,NA,NA,NA
"2699",1,1315176,"Jerry’s Kids",116.12,"WIN",996305,"Gettin' Diggy With It",88.06,"50884444",TRUE,TRUE,NA,NA,NA
"2700",1,1315345,"DinoJockeyTebow Died On The Cross To Save The Team",120.3,"LOSE",996300,"swimkid07's BuffaLove",127.98,"50884442",TRUE,TRUE,NA,NA,NA
"2701",2,1083211,"Under New Management",161.8,"WIN",996276,"harryLOL's Replacements",115.26,"50884446",TRUE,TRUE,NA,NA,NA
"2702",2,1172029,"Time to Simmer Maybe",133.26,"LOSE",996300,"swimkid07's BuffaLove",152,"50884448",TRUE,TRUE,NA,NA,NA
