"","player_id","player_name","team","pos","sportradar_id","position_eligibility"
"65",10252,"Mike Evans","TB","WR","c48c21d9-0ae5-478c-ad34-30a660cfa9b8","WR"
"66",16811,"Kenny Pickett","PIT","QB","ef7ae1f1-4ebe-4759-bbb3-32bd177ace08","QB"
"67",15522,"Jordan Love","GB","QB","e5094779-e94f-4052-8597-bdbee3719f6b","QB"
"68",13758,"Baker Mayfield","TB","QB","30198d30-9769-4e10-ac86-b4c91d940802","QB"
"69",14702,"Deebo Samuel","SF","WR","628a6a0a-4fde-4024-8d7c-28674953d5af","WR"
"70",10311,"Jimmy Garoppolo","LV","QB","42de9d1d-0352-460b-9172-9452414fd7fd","QB"
"71",16235,"Mac Jones","NE","QB","1fd00ec3-b758-46d2-a2c1-cca521ea8a54","QB"
"72",15555,"J.K. Dobbins","BAL","RB","a57b9914-4315-4295-98b4-9b348c52d6a1","RB"
"73",17045,"Brock Purdy","SF","QB","d5aef708-ad61-4ab8-a637-62ff96e92040","QB"
"74",12890,"Mike Williams","LAC","WR","12f27311-7cd6-4ca5-ba7d-571e9de5e1eb","WR"
"75",8514,"Ryan Tannehill","TEN","QB","5812204c-6dae-4450-8011-99e0f72864ac","QB"
"76",17602,"Bryce Young","CAR","QB","38475bfa-9773-4c3b-9157-a0dbd576fa22","QB"
"77",15604,"Jonathan Taylor","IND","RB","925195a4-06ba-4e37-ae7d-a3d6a5419139","RB"
"78",16882,"Rachaad White","TB","RB","4d3f2f57-215c-4cb4-bf75-a7ecdcdded70","RB"
"79",14677,"T.J. Hockenson","MIN","TE","bd1120b6-38b3-4225-a4b0-20660a149d0d","TE"
"80",17589,"C.J. Stroud","HOU","QB","7e91086f-9ca4-4bd9-a099-b88b2f37e6c6","QB"
"81",14746,"Terry McLaurin","WAS","WR","7e8c4641-2beb-4213-ba22-69fe0307005f","WR"
"82",16880,"Desmond Ridder","ATL","QB","6bf35760-217c-401d-b80b-2ae7cc5d7564","QB"
"83",10242,"Brandin Cooks","DAL","WR","b6b954eb-4591-4b7a-86b9-a481f15fdd58","WR"
"84",15563,"Cam Akers","LAR","RB","74980532-8158-4b56-91db-5053878737b4","RB"
"85",12096,"Michael Thomas","NO","WR","90c1756d-1f47-41b7-89fe-b113c9850bc1","WR"
"86",6625,"Colt McCoy","ARI","QB","3699dfd9-d437-43f7-b674-adbb31e7e64b","QB"
"87",9311,"DeAndre Hopkins","TEN","WR","5c48ade7-4b9a-4757-9643-87a6e3839e2b","WR"
"88",16823,"Drake London","ATL","WR","5053f9ae-15d9-4730-833d-484886b6f890","WR"
"89",14716,"David Montgomery","DET","RB","1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c","RB"
