"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"1233",7,1084591,"sakuraba39",96.8,"WIN",880747,"Olave Garden",63.6,"50883808",TRUE,NA,NA,NA,NA
"1234",7,1171752,"Wocao",115.02,"WIN",1252730,"Show Me Your TDs",84.16,"50883809",TRUE,NA,NA,NA,NA
"1235",7,1252734,"ogin's Iowa’s Offensive Offense",143.86,"WIN",880715,"Basedinspace's Lobos",143.72,"50883804",TRUE,NA,NA,NA,NA
"1236",7,1316968,"Gonzofisted Slurms",102.82,"LOSE",880886,"HiredGoon's Mud is a Food",103.04,"50883805",TRUE,NA,NA,NA,NA
"1237",8,1084591,"sakuraba39",119.02,"LOSE",880715,"Basedinspace's Lobos",136.94,"50883814",TRUE,NA,NA,NA,NA
"1238",8,880716,"thequicknthedead’s Sloppy Steaks",170.6,"WIN",880747,"Olave Garden",113.58,"50883812",TRUE,NA,NA,NA,NA
"1239",8,1171752,"Wocao",134.84,"WIN",880886,"HiredGoon's Mud is a Food",84.22,"50883815",TRUE,NA,NA,NA,NA
"1240",8,880727,"Trancemark Troublemakers",93.98,"LOSE",1252730,"Show Me Your TDs",149.12,"50883813",TRUE,NA,NA,NA,NA
"1241",8,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",100.22,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",152.24,"50883810",TRUE,NA,NA,NA,NA
"1242",8,1315309,"GoldenFalcon's GoldenFalcons",151.18,"WIN",1316968,"Gonzofisted Slurms",127.5,"50883811",TRUE,NA,NA,NA,NA
"1243",8,880715,"Basedinspace's Lobos",136.94,"WIN",1084591,"sakuraba39",119.02,"50883814",TRUE,NA,NA,NA,NA
"1244",8,880747,"Olave Garden",113.58,"LOSE",880716,"thequicknthedead’s Sloppy Steaks",170.6,"50883812",TRUE,NA,NA,NA,NA
"1245",8,880886,"HiredGoon's Mud is a Food",84.22,"LOSE",1171752,"Wocao",134.84,"50883815",TRUE,NA,NA,NA,NA
"1246",8,1252730,"Show Me Your TDs",149.12,"WIN",880727,"Trancemark Troublemakers",93.98,"50883813",TRUE,NA,NA,NA,NA
"1247",8,1252734,"ogin's Iowa’s Offensive Offense",152.24,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",100.22,"50883810",TRUE,NA,NA,NA,NA
"1248",8,1316968,"Gonzofisted Slurms",127.5,"LOSE",1315309,"GoldenFalcon's GoldenFalcons",151.18,"50883811",TRUE,NA,NA,NA,NA
"1249",9,880715,"Basedinspace's Lobos",96.34,"LOSE",880716,"thequicknthedead’s Sloppy Steaks",142.26,"50883816",TRUE,NA,NA,NA,NA
"1250",9,880886,"HiredGoon's Mud is a Food",135.5,"WIN",880727,"Trancemark Troublemakers",130.54,"50883817",TRUE,NA,NA,NA,NA
"1251",9,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",74.4,"LOSE",880747,"Olave Garden",143.02,"50883818",TRUE,NA,NA,NA,NA
"1252",9,1252734,"ogin's Iowa’s Offensive Offense",131.8,"WIN",1084591,"sakuraba39",117.02,"50883820",TRUE,NA,NA,NA,NA
"1253",9,1316968,"Gonzofisted Slurms",96.52,"LOSE",1171752,"Wocao",108.68,"50883821",TRUE,NA,NA,NA,NA
"1254",9,1315309,"GoldenFalcon's GoldenFalcons",142,"WIN",1252730,"Show Me Your TDs",98.36,"50883819",TRUE,NA,NA,NA,NA
"1255",9,880716,"thequicknthedead’s Sloppy Steaks",142.26,"WIN",880715,"Basedinspace's Lobos",96.34,"50883816",TRUE,NA,NA,NA,NA
"1256",9,880727,"Trancemark Troublemakers",130.54,"LOSE",880886,"HiredGoon's Mud is a Food",135.5,"50883817",TRUE,NA,NA,NA,NA
"1257",9,880747,"Olave Garden",143.02,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",74.4,"50883818",TRUE,NA,NA,NA,NA
"1258",9,1084591,"sakuraba39",117.02,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",131.8,"50883820",TRUE,NA,NA,NA,NA
"1259",9,1171752,"Wocao",108.68,"WIN",1316968,"Gonzofisted Slurms",96.52,"50883821",TRUE,NA,NA,NA,NA
"1260",9,1252730,"Show Me Your TDs",98.36,"LOSE",1315309,"GoldenFalcon's GoldenFalcons",142,"50883819",TRUE,NA,NA,NA,NA
"1261",10,1252730,"Show Me Your TDs",100.44,"LOSE",880715,"Basedinspace's Lobos",137.34,"50883827",TRUE,NA,NA,NA,NA
"1262",10,880747,"Olave Garden",115.28,"LOSE",880886,"HiredGoon's Mud is a Food",120,"50883826",TRUE,NA,NA,NA,NA
"1263",10,1315309,"GoldenFalcon's GoldenFalcons",93.26,"LOSE",1084591,"sakuraba39",127.8,"50883823",TRUE,NA,NA,NA,NA
"1264",10,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",88.44,"LOSE",1171752,"Wocao",151.04,"50883822",TRUE,NA,NA,NA,NA
"1265",10,880727,"Trancemark Troublemakers",116.52,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",142.08,"50883825",TRUE,NA,NA,NA,NA
"1266",10,880716,"thequicknthedead’s Sloppy Steaks",85.6,"LOSE",1316968,"Gonzofisted Slurms",107.7,"50883824",TRUE,NA,NA,NA,NA
"1267",10,880715,"Basedinspace's Lobos",137.34,"WIN",1252730,"Show Me Your TDs",100.44,"50883827",TRUE,NA,NA,NA,NA
"1268",10,880886,"HiredGoon's Mud is a Food",120,"WIN",880747,"Olave Garden",115.28,"50883826",TRUE,NA,NA,NA,NA
"1269",10,1084591,"sakuraba39",127.8,"WIN",1315309,"GoldenFalcon's GoldenFalcons",93.26,"50883823",TRUE,NA,NA,NA,NA
"1270",10,1171752,"Wocao",151.04,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",88.44,"50883822",TRUE,NA,NA,NA,NA
"1271",10,1252734,"ogin's Iowa’s Offensive Offense",142.08,"WIN",880727,"Trancemark Troublemakers",116.52,"50883825",TRUE,NA,NA,NA,NA
"1272",10,1316968,"Gonzofisted Slurms",107.7,"WIN",880716,"thequicknthedead’s Sloppy Steaks",85.6,"50883824",TRUE,NA,NA,NA,NA
"1273",11,1252734,"ogin's Iowa’s Offensive Offense",138.04,"WIN",880716,"thequicknthedead’s Sloppy Steaks",82.74,"50883832",TRUE,NA,NA,NA,NA
"1274",11,1316968,"Gonzofisted Slurms",112.6,"LOSE",880727,"Trancemark Troublemakers",144,"50883833",TRUE,NA,NA,NA,NA
"1275",11,880715,"Basedinspace's Lobos",124.36,"LOSE",880747,"Olave Garden",129.28,"50883828",TRUE,NA,NA,NA,NA
"1276",11,1084591,"sakuraba39",131.86,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",95.8,"50883830",TRUE,NA,NA,NA,NA
"1277",11,880886,"HiredGoon's Mud is a Food",108.38,"LOSE",1252730,"Show Me Your TDs",112.38,"50883829",TRUE,NA,NA,NA,NA
"1278",11,1171752,"Wocao",117.3,"WIN",1315309,"GoldenFalcon's GoldenFalcons",57.9,"50883831",TRUE,NA,NA,NA,NA
"1279",11,880716,"thequicknthedead’s Sloppy Steaks",82.74,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",138.04,"50883832",TRUE,NA,NA,NA,NA
"1280",11,880727,"Trancemark Troublemakers",144,"WIN",1316968,"Gonzofisted Slurms",112.6,"50883833",TRUE,NA,NA,NA,NA
"1281",11,880747,"Olave Garden",129.28,"WIN",880715,"Basedinspace's Lobos",124.36,"50883828",TRUE,NA,NA,NA,NA
"1282",11,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",95.8,"LOSE",1084591,"sakuraba39",131.86,"50883830",TRUE,NA,NA,NA,NA
"1283",11,1252730,"Show Me Your TDs",112.38,"WIN",880886,"HiredGoon's Mud is a Food",108.38,"50883829",TRUE,NA,NA,NA,NA
"1284",11,1315309,"GoldenFalcon's GoldenFalcons",57.9,"LOSE",1171752,"Wocao",117.3,"50883831",TRUE,NA,NA,NA,NA
"1285",12,880716,"thequicknthedead’s Sloppy Steaks",104.64,"LOSE",880727,"Trancemark Troublemakers",116.1,"50883836",TRUE,TRUE,NA,NA,NA
"1286",12,880715,"Basedinspace's Lobos",128,"WIN",880886,"HiredGoon's Mud is a Food",108.82,"50883834",TRUE,TRUE,NA,NA,NA
"1287",12,1315309,"GoldenFalcon's GoldenFalcons",152.84,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",114.06,"50883835",TRUE,TRUE,NA,NA,NA
"1288",12,1171752,"Wocao",115.2,"LOSE",1084591,"sakuraba39",138.5,"50883837",TRUE,TRUE,NA,NA,NA
"1289",12,880747,"Olave Garden",95.52,"WIN",1252730,"Show Me Your TDs",85.2,"50883838",TRUE,TRUE,NA,NA,NA
"1290",12,1316968,"Gonzofisted Slurms",107.22,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",174.34,"50883839",TRUE,TRUE,NA,NA,NA
